Municipality,Initial,Final,PS,PVI,LS,LVI,AL,Lechoso,Consistente,Maduro
Tapilula,23/03/2015,29/03/2015,6.5,2.5,1,0.3,3.2,0,0,0
Simojovel de Allende,23/03/2015,29/03/2015,5.1,3.6,0.9,0.9,0.5,0,0,0
Huitiupan,23/03/2015,29/03/2015,3.9,2.2,0.9,0.2,0.6,0,0,0
Escuintla,23/03/2015,29/03/2015,7.5,4.6,0.9,0.6,1.9,0,0,0
Ixhuatan,23/03/2015,29/03/2015,5.7,0.8,0.8,0.1,2.1,0,0,0
Villa Comaltitlan,23/03/2015,29/03/2015,2.8,0.7,0.7,0.4,1.3,92,0,1
Tuzantan,23/03/2015,29/03/2015,3.8,1.9,0.6,0.4,0.8,1.5,0,2
Union Juarez,23/03/2015,29/03/2015,2.9,1.4,0.6,0.4,2.1,14,0,0
Tuxtla Chico,23/03/2015,29/03/2015,0.1,0.1,0,0,0.1,0,0,0
Tecpatan,23/03/2015,29/03/2015,0,0,0,0,-,-,-,-
Siltepec,30/03/2015,05/04/2015,28.6,30.6,20.5,16.3,-,-,-,-
Villa Corzo,30/03/2015,05/04/2015,10.3,1.4,5.9,1,-,-,-,-
Chicomuselo,30/03/2015,05/04/2015,9.2,6.3,5.7,3.8,-,-,-,-
Angel Albino Corzo,30/03/2015,05/04/2015,8,1.3,5.6,2.7,-,-,-,-
Ocotepec,30/03/2015,05/04/2015,17.3,6,5.5,1.1,-,-,-,-
Motozintla,30/03/2015,05/04/2015,0.5,0.9,3.4,6.2,-,-,-,-
Tila,30/03/2015,05/04/2015,6.7,2.3,3.4,1.4,-,-,-,-
Tumbala,30/03/2015,05/04/2015,4.8,1.4,3.2,0.5,-,-,-,-
Amatan,30/03/2015,05/04/2015,8.9,1.7,2.9,1.1,-,-,-,-
Yajalon,30/03/2015,05/04/2015,6.2,1.3,2.5,0.4,-,-,-,-
Simojovel de Allende,30/03/2015,05/04/2015,8.2,4.9,2.2,1.5,-,-,-,-
Huitiupan,30/03/2015,05/04/2015,7.5,4.3,2.2,1.2,-,-,-,-
San Juan Cancuc,30/03/2015,05/04/2015,4.4,0.5,1.9,0.4,-,-,-,-
Cacahoatan,30/03/2015,05/04/2015,3.1,2.9,1.9,4,-,-,-,-
Chenalhe,30/03/2015,05/04/2015,2.8,0.3,1.8,1.2,-,-,-,-
Chilon,30/03/2015,05/04/2015,4.2,0.8,1.6,0.6,-,-,-,-
El Bosque,30/03/2015,05/04/2015,2.6,0.5,1.4,0.6,-,-,-,-
Bella Vista,30/03/2015,05/04/2015,1.5,0.3,1.1,0.6,-,-,-,-
Amatenango de la Frontera,30/03/2015,05/04/2015,1.5,0.2,0.8,0.1,-,-,-,-
Huixtla,30/03/2015,05/04/2015,3.6,1,0.7,0.4,-,-,-,-
Tapachula,30/03/2015,05/04/2015,2.1,1.6,0.7,1.7,-,-,-,-
Ixhuatan,30/03/2015,05/04/2015,5.1,0.6,0.7,0.1,-,-,-,-
Tapilula,30/03/2015,05/04/2015,5.8,0.8,0.7,0.1,-,-,-,-
Tuzantan,30/03/2015,05/04/2015,3.3,1.8,0.6,0.3,-,-,-,-
Villa Comaltitlan,30/03/2015,05/04/2015,3.1,0.8,0.6,0.2,-,-,-,-
Escuintla,30/03/2015,05/04/2015,6.2,3.5,0.5,0.3,-,-,-,-
Union Juarez,30/03/2015,05/04/2015,2.7,1.6,0.3,0.2,-,-,-,-
Tuxtla Chico,30/03/2015,05/04/2015,0,0.1,0,0,-,-,-,-
Tecpatan,30/03/2015,05/04/2015,0,0,0,0,-,-,-,-
Coapilla,04/04/2016,10/04/2016,11.2,-,7.1,-,3.2,0,0,0
Copainala,04/04/2016,10/04/2016,9.9,-,5.4,-,2.7,0,0,0
Ocotepec,04/04/2016,10/04/2016,6.4,-,4.4,-,2.2,0,0,0
Tenejapa,04/04/2016,10/04/2016,23.6,-,3.9,-,2.3,0,0,0
Bella Vista,04/04/2016,10/04/2016,2.9,-,3.9,-,1.2,0,0,0
San Juan Cancuc,04/04/2016,10/04/2016,13.2,-,3.2,-,3.4,0,59,7
Santiago El Pinar,04/04/2016,10/04/2016,8.7,0.7,3.2,0.6,1.7,0,163,5.5
Chenalhe,04/04/2016,10/04/2016,12.9,-,2.9,-,2.6,0,3,6
San Fernando,04/04/2016,10/04/2016,3.8,-,2.8,-,1.6,0,0,0
Chicomuselo,04/04/2016,10/04/2016,1.8,-,2.6,-,0.7,0,0,0
Pantelho,04/04/2016,10/04/2016,9.2,-,2.6,-,2.6,0,5,3
Montecristo de Guerrero,04/04/2016,10/04/2016,11.6,-,2.3,-,2.1,0,0,0
Cacahoatan,04/04/2016,10/04/2016,1.8,2.4,2.2,3,1,29,0,0
Motozintla,04/04/2016,10/04/2016,4.2,-,2.1,-,1.9,16,0,0
Angel Albino Corzo,04/04/2016,10/04/2016,6.9,1.6,1.8,0.6,1.3,0,0,0
La Concordia,04/04/2016,10/04/2016,6.4,-,1.7,-,0.8,0,0,0
Yajalon,04/04/2016,10/04/2016,5.2,-,1.6,-,1.4,0,0,0
Mapastepec,04/04/2016,10/04/2016,6.9,-,1.5,-,2.8,0,0,0
Jitotol,04/04/2016,10/04/2016,4.4,-,1.3,-,1,0,0,0
Villa Corzo,04/04/2016,10/04/2016,7.2,-,1.3,-,1,0,0,0
Siltepec,04/04/2016,10/04/2016,2.4,2.1,1.3,1.4,0.6,0,0,0
Tuzantan,04/04/2016,10/04/2016,4.9,1.6,1.3,0.5,0.8,92,0,0
Villa Comaltitlan,04/04/2016,10/04/2016,4.6,1.1,1.2,0.4,1.7,77.5,0,0
Oxchuc,04/04/2016,10/04/2016,4.8,-,1.2,-,0.7,0,151,3
Tapachula,04/04/2016,10/04/2016,2.7,1.6,1.1,0.7,3,0,0,0
Tila,04/04/2016,10/04/2016,4.1,1.3,1.1,0.5,1,0,0,0
Ocosingo,04/04/2016,10/04/2016,3.2,-,0.9,-,0.8,0,0,14
Tumbala,04/04/2016,10/04/2016,4.8,2.1,0.9,0.3,1.1,0,36,29.5
Amatan,04/04/2016,10/04/2016,4.6,-,0.8,-,1,0,0,0
Amatenango de la Frontera,04/04/2016,10/04/2016,1.2,-,0.8,-,0.7,0,0,0
Sitala,04/04/2016,10/04/2016,3.4,-,0.8,-,0.8,0,0,0
Huixtla,04/04/2016,10/04/2016,3.3,0,0.8,0.4,0.7,0,0,0
Acacoyagua,04/04/2016,10/04/2016,4.5,1,0.8,0.1,0.7,0,0,0
Frontera Comalapa,04/04/2016,10/04/2016,5.3,4.3,0.7,0.1,1.6,0,0,0
Escuintla,04/04/2016,10/04/2016,5.7,3.4,0.7,0.5,2.5,27.3,0,0
Chilon,04/04/2016,10/04/2016,2.6,0.5,0.7,0,0.7,0,0,2.5
Tapilula,04/04/2016,10/04/2016,3,-,0.6,-,0.5,0,0,0
Pueblo Nuevo Solistahuacan,04/04/2016,10/04/2016,2.7,-,0.5,-,0.2,0,0,0
Huehuetan,04/04/2016,10/04/2016,3,-,0.5,-,0.7,0,0,0
Union Juarez,04/04/2016,10/04/2016,5.1,-,0.5,-,2.3,1,12,2
Ixhuatan,04/04/2016,10/04/2016,2.8,0.5,0.5,0.1,0.1,0,0,0
Simojovel de Allende,04/04/2016,10/04/2016,1.8,1.2,0.3,0.2,0.4,7,0,0
El Bosque,04/04/2016,10/04/2016,1.4,-,0.2,-,0.3,0,0,0
Motozintla,04/04/2016,10/04/2016,1.1,1,0.2,0.3,0.3,122.5,0,0
Huitiupan,04/04/2016,10/04/2016,1.1,-,0.2,-,0.3,0,0,0
Tuxtla Chico,04/04/2016,10/04/2016,0.4,-,0,-,0,0,0,0
Tecpatan,04/04/2016,10/04/2016,0,-,0,-,0,0,0,0
Siltepec,06/04/2015,12/04/2015,10.4,19.1,9.4,12.9,1.7,0,0,0
Ocotepec,06/04/2015,12/04/2015,17,6.1,5.8,1.7,1.1,0,0,0
Yajalon,06/04/2015,12/04/2015,6,1.2,4.1,4.9,2.1,0,0,0
Tumbala,06/04/2015,12/04/2015,7.1,3.2,3.7,0.9,1.2,0,0,0
Bella Vista,06/04/2015,12/04/2015,2.5,0.7,2.9,2.2,1.6,0,0,0
Angel Albino Corzo,06/04/2015,12/04/2015,5,0.2,2.6,0.5,1.3,0,0,0
Tila,06/04/2015,12/04/2015,6.7,5.6,2.6,1.7,1.2,0,0,0
Villa Corzo,06/04/2015,12/04/2015,5.2,0.9,2.2,0.2,1.3,0,0,0
Chenalhe,06/04/2015,12/04/2015,3.4,0.8,1.9,0.5,1.2,0,2,2
Amatan,06/04/2015,12/04/2015,5.7,1.1,1.7,0.6,2,0,0,0
San Juan Cancuc,06/04/2015,12/04/2015,4,1.1,1.6,0.5,1.2,0,21,3
Huitiupan,06/04/2015,12/04/2015,4.5,3.6,1.4,1.2,0.6,0,0,0
Simojovel de Allende,06/04/2015,12/04/2015,4.7,3.2,1.4,1,0.3,0,0,0
Chilon,06/04/2015,12/04/2015,4.1,0.9,1.4,0.5,1.1,0,0,0
Chicomuselo,06/04/2015,12/04/2015,2.7,2.1,1.3,0.5,0.7,0,0,0
El Bosque,06/04/2015,12/04/2015,2.8,0.4,1.3,0.2,1.4,0,0,2
Tapilula,06/04/2015,12/04/2015,4.1,0.5,0.8,0.3,3.3,0,0,0
Escuintla,06/04/2015,12/04/2015,4.3,2.9,0.7,1.1,1.8,0,0,0
Cacahoatan,06/04/2015,12/04/2015,2.1,2.2,0.6,1.1,1.3,126.7,0,0
Ixhuatan,06/04/2015,12/04/2015,3.7,0.5,0.6,0.1,1.8,0,0,0
Huixtla,06/04/2015,12/04/2015,3,1.2,0.6,0.3,1.4,68,0,0
Amatenango de la Frontera,06/04/2015,12/04/2015,1.1,0.4,0.5,0.3,0.4,0,0,0
Tapachula,06/04/2015,12/04/2015,1.4,1.3,0.4,0.8,1.9,11.8,1.8,3.6
Villa Comaltitlan,06/04/2015,12/04/2015,1.8,0.7,0.3,0.3,1,109.5,23,0
Union Juarez,06/04/2015,12/04/2015,2.9,2.8,0.2,0.3,1.3,87,0,2.3
Motozintla,06/04/2015,12/04/2015,0.2,0.2,0.2,0.3,-,-,-,-
Tuzantan,06/04/2015,12/04/2015,1.2,0.7,0.1,0.1,0,25,0,0
Tuxtla Chico,06/04/2015,12/04/2015,0,0.1,0,0,0.1,0,0,0
Tecpatan,06/04/2015,12/04/2015,0,0,0,0,-,-,-,-
Coapilla,11/04/2016,17/04/2016,8.9,2.1,5.8,1.4,0,0,0,0
Ocotepec,11/04/2016,17/04/2016,7.7,1.2,4.8,0.6,0,0,0,0
Copainala,11/04/2016,17/04/2016,7.8,2.1,4.3,0.6,0,0,0,0
San Fernando,11/04/2016,17/04/2016,6.4,2.3,4.1,1.4,0,0,0,0
Tenejapa,11/04/2016,17/04/2016,13.6,4.7,3.6,0.1,0,0,0,0
Mapastepec,11/04/2016,17/04/2016,10,12.9,3.4,4.8,0,0,0,0
San Juan Cancuc,11/04/2016,17/04/2016,15.1,2.7,3.2,0.2,0,0,0,0
Motozintla,11/04/2016,17/04/2016,4.2,-,2.3,-,0,0,0,0
Yajalon,11/04/2016,17/04/2016,5.6,1.4,2.1,0.3,0,0,0,0
Tumbala,11/04/2016,17/04/2016,7.2,2.2,1.8,0.6,0,0,0,0
Tila,11/04/2016,17/04/2016,6.9,2.7,1.7,0.5,0.1,0,0,0
Las Margaritas,11/04/2016,17/04/2016,3,0,1.7,0.2,-,-,-,-
Siltepec,11/04/2016,17/04/2016,2.9,1.4,1.6,0.9,0,0,0,0
Escuintla,11/04/2016,17/04/2016,6.2,4.4,1.6,1.9,0,0,0,0
Chenalhe,11/04/2016,17/04/2016,12.9,-,1.6,-,0,0,0,0
Santiago El Pinar,11/04/2016,17/04/2016,8.6,1.6,1.5,0.4,1.7,0,163,5.5
Chicomuselo,11/04/2016,17/04/2016,1.4,0.2,1.4,0.7,0,0,0,0
Chilon,11/04/2016,17/04/2016,4.3,1.4,1.4,0.7,0,0,0,0
La Trinitaria,11/04/2016,17/04/2016,3,0,1.4,0.2,-,-,-,-
Ocosingo,11/04/2016,17/04/2016,4.3,1.6,1.3,0.5,0,0,0,0
Oxchuc,11/04/2016,17/04/2016,4.8,0.4,1.3,0.1,0,0,0,0
Bella Vista,11/04/2016,17/04/2016,1.4,1.1,1.3,1.6,0,0,0,0
Jitotol,11/04/2016,17/04/2016,4.3,0.2,1.2,0.3,0,0,0,0
La Independencia,11/04/2016,17/04/2016,3,0,1.2,0.6,-,-,-,-
Chenalhe,11/04/2016,17/04/2016,5.3,3.2,1.1,0.4,-,-,-,-
Montecristo de Guerrero,11/04/2016,17/04/2016,6.7,4.2,1.1,0.5,0,0,0,0
Pantelho,11/04/2016,17/04/2016,7.1,1.3,1.1,0.1,0,0,0,0
Sitala,11/04/2016,17/04/2016,3.7,-,1,-,0,0,0,0
Angel Albino Corzo,11/04/2016,17/04/2016,4.7,1.1,1,0.6,0,0,0,0
La Concordia,11/04/2016,17/04/2016,3.9,0.8,1,0.3,0,0,0,0
Villa Corzo,11/04/2016,17/04/2016,5,1.7,1,0.4,0,0,0,0
Tuzantan,11/04/2016,17/04/2016,3.7,1.8,0.9,0.5,0,0,0,0
Amatan,11/04/2016,17/04/2016,5.7,0.7,0.9,0.1,0,0,0,0
Huixtla,11/04/2016,17/04/2016,2.7,0.8,0.8,0.1,0,0,0,0
Tapachula,11/04/2016,17/04/2016,2.1,1.2,0.7,0.5,0,0,0,0
Simojovel de Allende,11/04/2016,17/04/2016,5.4,1.3,0.7,0.1,-,-,-,-
Villa Comaltitlan,11/04/2016,17/04/2016,3,1.4,0.7,0.4,0,0,0,0
Union Juarez,11/04/2016,17/04/2016,3.1,1.1,0.6,0.7,0,0,0,0
Villaflores,11/04/2016,17/04/2016,3.2,0.2,0.6,0.4,-,-,-,-
Amatenango de la Frontera,11/04/2016,17/04/2016,0.8,0.7,0.6,0.6,0,0,0,0
Acacoyagua,11/04/2016,17/04/2016,2.7,1.6,0.5,0.3,0,0,0,0
Motozintla,11/04/2016,17/04/2016,1.6,0.6,0.5,0.3,0,0,0,0
Ixhuatan,11/04/2016,17/04/2016,3,0.6,0.5,0.2,0,0,0,0
Huehuetan,11/04/2016,17/04/2016,2,1.5,0.5,0.5,0,0,0,0
Tapilula,11/04/2016,17/04/2016,3,0,0.5,0.1,0,0,0,0
Pueblo Nuevo Solistahuacan,11/04/2016,17/04/2016,2.9,0.2,0.4,0.1,0,0,0,0
Cacahoatan,11/04/2016,17/04/2016,1.1,1,0.4,0.7,0,0,0,0
Huitiupan,11/04/2016,17/04/2016,3.1,1.8,0.4,0.2,0,0,0,0
Frontera Comalapa,11/04/2016,17/04/2016,0.8,0.9,0.4,0.6,0,0,0,0
Jiquipilas,11/04/2016,17/04/2016,3,0,0.4,0,-,-,-,-
Ocozocoautla de Espinosa,11/04/2016,17/04/2016,2.8,0.1,0.3,0,-,-,-,-
Cintalapa,11/04/2016,17/04/2016,3,0,0.3,0,-,-,-,-
El Bosque,11/04/2016,17/04/2016,2.1,0.5,0.3,0.1,0,0,0,0
Berriozabal,11/04/2016,17/04/2016,2.6,0.3,0.2,0,-,-,-,-
Simojovel de Allende,11/04/2016,17/04/2016,1.8,1.2,0.2,0.1,0,0,0,0
Tuxtla Chico,11/04/2016,17/04/2016,0.1,0.2,0,0,0,0,0,0
Tecpatan,11/04/2016,17/04/2016,0,0,0,0,0,0,0,0
Ocotepec,20/04/2015,26/04/2015,17.1,6.8,5.7,1.1,1.1,0,0,0
Siltepec,20/04/2015,26/04/2015,4.4,7.8,3.2,4.3,0.6,0,0,0
Tumbala,20/04/2015,26/04/2015,5.5,1.7,3,0.9,-,-,-,-
Chilon,20/04/2015,26/04/2015,4.8,1.1,2.1,0.9,1.2,0,0,0
Tila,20/04/2015,26/04/2015,3.9,0.6,2,0.5,1,0,0,0
Yajalon,20/04/2015,26/04/2015,4.8,1.1,1.7,0.3,1,0,0,0
Simojovel de Allende,20/04/2015,26/04/2015,5.6,5.5,1.6,1.8,0.3,0,0,0
Cacahoatan,20/04/2015,26/04/2015,2.3,2,1.5,3.9,1.6,116,0,0
San Juan Cancuc,20/04/2015,26/04/2015,3.4,0.9,1.4,0.1,1.1,0,17,3
Chenalhe,20/04/2015,26/04/2015,2.8,0.3,1.3,0.2,1.1,0,2,2
El Bosque,20/04/2015,26/04/2015,3,0.5,1.2,0.2,0.9,0,0,0
Angel Albino Corzo,20/04/2015,26/04/2015,3.6,0.3,1.1,0.3,1.3,0,0,0
Amatan,20/04/2015,26/04/2015,4.1,1.8,1,0.3,2,0,0,0
Bella Vista,20/04/2015,26/04/2015,1.2,0.5,0.9,0.8,1.4,0,0,0
Villa Corzo,20/04/2015,26/04/2015,3.5,0.2,0.8,0.1,0.5,0,0,0
Chicomuselo,20/04/2015,26/04/2015,1.7,1.1,0.7,0.4,0.2,0,0,0
Huixtla,20/04/2015,26/04/2015,2.9,2,0.6,0.5,1.3,107.5,0,0
Escuintla,20/04/2015,26/04/2015,6.7,3.2,0.6,0.2,1.8,197.3,0,0
Tapilula,20/04/2015,26/04/2015,2.5,1.7,0.6,0.4,3.8,0,0,0
Ixhuatan,20/04/2015,26/04/2015,3,1.1,0.5,0.2,1.8,0,0,0
Amatenango de la Frontera,20/04/2015,26/04/2015,1.1,0.5,0.4,0.2,0.4,0,0,0
Huitiupan,20/04/2015,26/04/2015,1.6,1,0.4,0.2,0.6,0,0,0
Motozintla,20/04/2015,26/04/2015,0.2,0.2,0.3,0.3,-,-,-,-
Tapachula,20/04/2015,26/04/2015,1.2,1.3,0.3,0.5,1,486,0.3,1.7
Villa Comaltitlan,20/04/2015,26/04/2015,1.5,0.8,0.2,0.2,0.8,137,11,0
Union Juarez,20/04/2015,26/04/2015,1.5,0.8,0.2,0.1,1.6,375.5,0,12.5
Tuzantan,20/04/2015,26/04/2015,0.8,0.4,0.1,0.1,0.1,17.5,1.5,0
Tuxtla Chico,20/04/2015,26/04/2015,0,0.1,0,0,0.1,0,0,0
Tecpatan,20/04/2015,26/04/2015,0,0,0,0,-,-,-,-
Ocotepec,27/04/2015,03/05/2015,16.8,6.7,5.2,0.4,-,-,-,-
Siltepec,27/04/2015,03/05/2015,2.5,2.7,3.4,4.2,-,-,-,-
Tumbala,27/04/2015,03/05/2015,4.9,1.5,2.9,1.4,-,-,-,-
Tila,27/04/2015,03/05/2015,4.2,0.7,2.1,0.5,-,-,-,-
Chilon,27/04/2015,03/05/2015,4.8,1.1,2,0.7,-,-,-,-
Yajalon,27/04/2015,03/05/2015,4.8,1,1.7,0.2,-,-,-,-
San Juan Cancuc,27/04/2015,03/05/2015,3.8,0.7,1.5,0.1,-,-,-,-
Cacahoatan,27/04/2015,03/05/2015,2.9,3.5,1.4,3.1,-,-,-,-
Chenalhe,27/04/2015,03/05/2015,3.4,0.8,1.4,0.3,-,-,-,-
El Bosque,27/04/2015,03/05/2015,2.8,0.4,1.1,0.2,-,-,-,-
Angel Albino Corzo,27/04/2015,03/05/2015,3.5,0.5,1,0.3,-,-,-,-
Simojovel de Allende,27/04/2015,03/05/2015,4.4,3.6,1,0.9,-,-,-,-
Villa Corzo,27/04/2015,03/05/2015,3.5,0.2,0.9,0.1,-,-,-,-
Amatan,27/04/2015,03/05/2015,3.1,0.9,0.8,0.4,-,-,-,-
Tapachula,27/04/2015,03/05/2015,1.5,2.2,0.8,2.2,-,-,-,-
Escuintla,27/04/2015,03/05/2015,6.2,1.8,0.7,0.3,-,-,-,-
Bella Vista,27/04/2015,03/05/2015,1,0.6,0.6,0.5,-,-,-,-
Ixhuatan,27/04/2015,03/05/2015,3.1,0.4,0.5,0.1,-,-,-,-
Chicomuselo,27/04/2015,03/05/2015,1.2,0.6,0.4,0.2,-,-,-,-
Tapilula,27/04/2015,03/05/2015,2.8,0.2,0.4,0.2,-,-,-,-
Huitiupan,27/04/2015,03/05/2015,1.6,0.3,0.4,0.1,-,-,-,-
Huixtla,27/04/2015,03/05/2015,2.3,1,0.3,0.2,-,-,-,-
Union Juarez,27/04/2015,03/05/2015,1.2,1,0.2,0.3,-,-,-,-
Amatenango de la Frontera,27/04/2015,03/05/2015,0.6,0.3,0.2,0.1,-,-,-,-
Villa Comaltitlan,27/04/2015,03/05/2015,1.2,1,0.1,0.1,-,-,-,-
Motozintla,27/04/2015,03/05/2015,0.1,0.1,0.1,0.2,-,-,-,-
Tuxtla Chico,27/04/2015,03/05/2015,0.5,1,0,0.1,-,-,-,-
Tuzantan,27/04/2015,03/05/2015,0.4,0.3,0,0,-,-,-,-
Tecpatan,27/04/2015,03/05/2015,0,0,0,0,-,-,-,-
Coapilla,02/05/2016,08/05/2016,7.9,1.3,4.6,1.1,3.1,0,0,0
Ocotepec,02/05/2016,08/05/2016,7.2,1.1,4.3,0.8,2.2,0,0,0
Copainala,02/05/2016,08/05/2016,6.9,2.7,4.3,2,3.2,0,0,0
San Fernando,02/05/2016,08/05/2016,5.8,1.2,3.3,0.6,1.6,0,0,0
San Juan Cancuc,02/05/2016,08/05/2016,8.9,2.7,2.7,0.9,2.8,0,60,1
Santiago El Pinar,02/05/2016,08/05/2016,5,2.4,2.5,0.5,4.7,0,41,27.5
Jitotol,02/05/2016,08/05/2016,3.8,0.7,1.8,0.5,1,0,0,0
Ixhuatan,02/05/2016,08/05/2016,3.7,1.7,1.8,1.3,0.1,0,0,0
Amatenango de la Frontera,02/05/2016,08/05/2016,4,9.5,1.5,2.9,0,0,0,0
Tumbala,02/05/2016,08/05/2016,5.6,2,1.5,0.4,1.8,21.5,9,48.5
Yajalon,02/05/2016,08/05/2016,4.2,0.8,1.5,0.3,1.1,0,0,0
Tenejapa,02/05/2016,08/05/2016,6.5,4.6,1.5,1,1.8,0,0,2
Chilon,02/05/2016,08/05/2016,3.8,0.9,1.4,0.4,0.7,137,0,0
Tapilula,02/05/2016,08/05/2016,3,0,1.3,0,0.5,0,0,0
Chenalhe,02/05/2016,08/05/2016,3.3,-,1.3,-,1.7,1,0,0
Sitala,02/05/2016,08/05/2016,5.1,1.3,1.2,0.6,0.9,1,0,0
Tila,02/05/2016,08/05/2016,5.3,1.4,1.2,0.3,1.4,7.5,3,0
Bella Vista,02/05/2016,08/05/2016,4.2,5.9,1.2,1,0.4,0,0,0
Pantelho,02/05/2016,08/05/2016,2.9,0.6,1.2,0.7,1.3,0,3,0
Ocosingo,02/05/2016,08/05/2016,3.8,0.9,1.2,0.4,0.5,0,0,0
Chenalhe,02/05/2016,08/05/2016,3,0,1.1,0.1,-,-,-,-
Pueblo Nuevo Solistahuacan,02/05/2016,08/05/2016,2.7,0.3,1.1,0.1,0.5,0,0,0
Oxchuc,02/05/2016,08/05/2016,3.5,0.8,1,0.5,0.5,0,54,0
Amatan,02/05/2016,08/05/2016,5.8,2.3,1,0.6,0.9,74,0,0
Simojovel de Allende,02/05/2016,08/05/2016,6.5,0.4,0.9,0.1,-,-,-,-
Las Margaritas,02/05/2016,08/05/2016,2.8,0.5,0.9,0.3,0.9,0,0,0
Motozintla,02/05/2016,08/05/2016,2.3,-,0.8,-,1,0,0,0
La Independencia,02/05/2016,08/05/2016,2.8,0.4,0.8,0.3,1.1,4.5,13,29
Chicomuselo,02/05/2016,08/05/2016,0.6,0.5,0.8,0.7,0.1,0,0,0
Siltepec,02/05/2016,08/05/2016,2.3,1.5,0.6,0.3,0.5,0,7,6.7
La Trinitaria,02/05/2016,08/05/2016,2.7,0.6,0.6,0.1,0.7,0,11,5
Frontera Comalapa,02/05/2016,08/05/2016,0.9,0.4,0.6,0.3,0.1,0,0,0
Huitiupan,02/05/2016,08/05/2016,4.4,3,0.6,0.4,0.2,7,0,0
Escuintla,02/05/2016,08/05/2016,2.8,1.3,0.6,0.5,0,186,22,0
Villa Corzo,02/05/2016,08/05/2016,2.8,0.2,0.6,0.1,0.9,0,0,0
Montecristo de Guerrero,02/05/2016,08/05/2016,3.3,1.2,0.6,0.3,1.8,0,0,0
Angel Albino Corzo,02/05/2016,08/05/2016,2.8,0.3,0.5,0.1,0.8,0,0,0
Cintalapa,02/05/2016,08/05/2016,1.4,0.5,0.5,0.7,1.1,0,0,0
Villa Comaltitlan,02/05/2016,08/05/2016,1.6,0.9,0.5,0.3,0.9,43.5,0.5,6
Villaflores,02/05/2016,08/05/2016,4.1,5.2,0.4,0.5,-,-,-,-
Motozintla,02/05/2016,08/05/2016,1.3,0.5,0.4,0.3,0.2,168.5,0,0
Berriozabal,02/05/2016,08/05/2016,2.7,2.3,0.4,0.4,2.8,0,0,0
El Bosque,02/05/2016,08/05/2016,3.5,1.1,0.4,0.1,0.4,102,0,0
Tapachula,02/05/2016,08/05/2016,2.3,2.2,0.4,0.6,2.1,0,0,0
Mapastepec,02/05/2016,08/05/2016,2.2,1.9,0.3,0.2,2.6,0,0,0
La Concordia,02/05/2016,08/05/2016,2.1,0.4,0.3,0.1,0.2,0,0,0
Tuzantan,02/05/2016,08/05/2016,1.6,0.4,0.3,0.1,0.3,85,0,2.5
Cacahoatan,02/05/2016,08/05/2016,1,1,0.3,0.4,0.6,13,0,0
Huixtla,02/05/2016,08/05/2016,2.1,0.9,0.2,0.1,0.2,0,0,0
Acacoyagua,02/05/2016,08/05/2016,1.9,1.1,0.2,0.1,0.3,0,0,0
Simojovel de Allende,02/05/2016,08/05/2016,0.9,0.7,0.2,0.1,0.1,97,0,0
Union Juarez,02/05/2016,08/05/2016,1.7,0.6,0.2,0.1,0,184,11.5,0
Huehuetan,02/05/2016,08/05/2016,1.7,1,0.1,0.1,0.3,0,0,0
Ocozocoautla de Espinosa,02/05/2016,08/05/2016,1.4,0.2,0.1,0,0.9,0,0,0
Jiquipilas,02/05/2016,08/05/2016,0.1,0.1,0,0,0,0,0,0
Tuxtla Chico,02/05/2016,08/05/2016,0.1,0.2,0,0,0,0,0,0
Tecpatan,02/05/2016,08/05/2016,0,0,0,0,0,0,0,0
Ocotepec,04/05/2015,10/05/2015,16.3,6.9,5.3,1,0.8,0,0,0
Tumbala,04/05/2015,10/05/2015,4.4,0.7,2.8,0.5,1.6,0,0,0
Chilon,04/05/2015,10/05/2015,4.3,0.8,1.8,0.5,1.6,7.5,0,1.5
San Juan Cancuc,04/05/2015,10/05/2015,3.6,0.7,1.5,0.1,1.2,0,16,3
Yajalon,04/05/2015,10/05/2015,3.8,0.8,1.5,0.4,1,0,0,0
Siltepec,04/05/2015,10/05/2015,0.8,0.6,1.5,0.7,0.1,0,0,0
Simojovel de Allende,04/05/2015,10/05/2015,5.1,4.5,1.4,1.4,0.4,0,0,0
Chenalhe,04/05/2015,10/05/2015,3.2,0.9,1.4,0.3,1,0,2,0
Cacahoatan,04/05/2015,10/05/2015,1.9,1.9,1.4,4,1.6,116.3,0,0
El Bosque,04/05/2015,10/05/2015,2.8,0.4,1.2,0.4,0.9,0,0,0
Amatan,04/05/2015,10/05/2015,3.6,1,0.9,0.3,3.1,0,0,0
Tapilula,04/05/2015,10/05/2015,2.6,0.5,0.9,0.2,3.7,0,0,0
Angel Albino Corzo,04/05/2015,10/05/2015,3,0.2,0.8,0.2,0.9,0,0,0
Ixhuatan,04/05/2015,10/05/2015,2.5,0.5,0.8,0.2,2.6,0,0,0
Villa Corzo,04/05/2015,10/05/2015,3,0,0.7,0,0.8,0,0,0
Escuintla,04/05/2015,10/05/2015,5.5,2.2,0.6,0.3,1.7,837.5,0,0
Tila,04/05/2015,10/05/2015,1.8,1,0.5,0.7,0.9,0.5,0,0
Huitiupan,04/05/2015,10/05/2015,1.9,1.1,0.4,0.3,0.5,0,0,0
Bella Vista,04/05/2015,10/05/2015,0.9,0.1,0.4,0.2,1,0,0,0
Union Juarez,04/05/2015,10/05/2015,1,0.7,0.2,0.4,1.6,386.5,0,1
